"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2182","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 21:53:53 UTC 2026","passed","Tue Mar 31 21:53:55 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","2518","userSeesWaysToTradeBanner()","","Tue Mar 31 21:53:47 UTC 2026","passed","Tue Mar 31 21:53:50 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","18693","userCanLoginFromHomePage()","","Tue Mar 31 21:53:14 UTC 2026","broken","Tue Mar 31 21:53:33 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","2481","userSeesWebPlatformMenuItem()","","Tue Mar 31 21:54:17 UTC 2026","failed","Tue Mar 31 21:54:19 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","14169","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 21:53:00 UTC 2026","broken","Tue Mar 31 21:53:14 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","2514","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 21:54:19 UTC 2026","failed","Tue Mar 31 21:54:22 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","2213","userCanOpenTradingPage()","","Tue Mar 31 21:53:45 UTC 2026","passed","Tue Mar 31 21:53:47 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","2859","userSeesMobileAppMenuItem()","","Tue Mar 31 21:53:50 UTC 2026","failed","Tue Mar 31 21:53:53 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","2480","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 21:53:43 UTC 2026","failed","Tue Mar 31 21:53:45 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","2429","userSeesTryDemoAccountBtn()","","Tue Mar 31 21:54:14 UTC 2026","failed","Tue Mar 31 21:54:17 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","9795","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 21:53:55 UTC 2026","broken","Tue Mar 31 21:54:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","9730","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 21:54:05 UTC 2026","broken","Tue Mar 31 21:54:14 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","2276","validUserCanLoginTest()","","Tue Mar 31 21:52:58 UTC 2026","failed","Tue Mar 31 21:53:00 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","9610","tryDemoBtnWorks()","","Tue Mar 31 21:53:33 UTC 2026","broken","Tue Mar 31 21:53:43 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","2497","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 21:54:22 UTC 2026","failed","Tue Mar 31 21:54:24 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
